Id,Facility__c,Name,Room_Type__c,Status__c,GPBUDVM_Demo_Record__c,GPBUDVM_External_Id__c,Hand_Crafted_for_Demo_Scenario__c,Record_Type_Name__c,Facility__r.Name
a031700000FTAreAAH,a0017000006xUx9AAE,SFO-23-001,Conference Room,Clean,true,a031700000FTAreAAH,true,Room,SFO
a031700000FTArfAAH,a0017000006xUx9AAE,SFO-23-002,Conference Room,Clean,true,a031700000FTArfAAH,true,Room,SFO
a031700000FTArgAAH,a0017000006xUx9AAE,SFO-23-003,Cubicle,Unknown,true,a031700000FTArgAAH,true,Room,SFO
a031700000FTArhAAH,a0017000006xUx9AAE,SFO-23-004,Cubicle,Unknown,true,a031700000FTArhAAH,true,Room,SFO
a031700000FTAriAAH,a0017000006xUx9AAE,SFO-23-005,Personal Office,Unknown,true,a031700000FTAriAAH,true,Room,SFO
a031700000FTArjAAH,a0017000006xUx9AAE,SFO-23-006,Cubicle,Unknown,true,a031700000FTArjAAH,true,Room,SFO
a031700000FTArkAAH,a0017000006xUx9AAE,SFO-23-007,Cubicle,Unknown,true,a031700000FTArkAAH,true,Room,SFO
a031700000FTArlAAH,a0017000006xUx9AAE,SFO-23-008,Cubicle,Unknown,true,a031700000FTArlAAH,true,Room,SFO
a031700000FTArmAAH,a0017000006xUx9AAE,SFO-23-009,Cubicle,Unknown,true,a031700000FTArmAAH,true,Room,SFO
a031700000FTArnAAH,a0017000006xUx9AAE,SFO-23-010,Kitchen,Unknown,true,a031700000FTArnAAH,true,Room,SFO
a031700000FTAroAAH,a0017000006xUx9AAE,SFO-23-011,Kitchen,Clean,true,a031700000FTAroAAH,true,Room,SFO
a031700000FTArpAAH,a0017000006xUx9AAE,SFO-23-012,Cubicle,Clean,true,a031700000FTArpAAH,true,Room,SFO
a031700000FTArqAAH,a0017000006xUx9AAE,SFO-23-013,Cubicle,Clean,true,a031700000FTArqAAH,true,Room,SFO
a031700000FTArrAAH,a0017000006xUx9AAE,SFO-23-014,Conference Room,Clean,true,a031700000FTArrAAH,true,Room,SFO
a031700000FTArsAAH,a0017000006xUx9AAE,SFO-23-015,Cubicle,Unknown,true,a031700000FTArsAAH,true,Room,SFO
a031700000FTArtAAH,a0017000006xUx9AAE,SFO-23-016,Personal Office,Unknown,true,a031700000FTArtAAH,true,Room,SFO
a031700000FTAruAAH,a0017000006xUx9AAE,SFO-23-017,Closet,Clean,true,a031700000FTAruAAH,true,Room,SFO
a031700000FTArvAAH,a0017000006xUx9AAE,SFO-23-018,Conference Room,Clean,true,a031700000FTArvAAH,true,Room,SFO
a031700000FTArwAAH,a0017000006xUx9AAE,SFO-23-019,Cubicle,Clean,true,a031700000FTArwAAH,true,Room,SFO
a031700000FTArxAAH,a0017000006xUx9AAE,SFO-23-020,Cubicle,Clean,true,a031700000FTArxAAH,true,Room,SFO
a031700000FTAryAAH,a0017000006xUx9AAE,SFO-23-021,Personal Office,Unknown,true,a031700000FTAryAAH,true,Room,SFO
a031700000FTArzAAH,a0017000006xUx9AAE,SFO-23-022,Communal Space,Clean,true,a031700000FTArzAAH,true,Room,SFO
a031700000FTAs0AAH,a0017000006xUx9AAE,SFO-23-023,Cubicle,Clean,true,a031700000FTAs0AAH,true,Room,SFO
a031700000FTAs1AAH,a0017000006xUx9AAE,SFO-23-024,Cubicle,Unknown,true,a031700000FTAs1AAH,true,Room,SFO
a031700000FTAs2AAH,a0017000006xUx9AAE,SFO-23-025,Cubicle,Clean,true,a031700000FTAs2AAH,true,Room,SFO
a031700000FTAs3AAH,a0017000006xUx9AAE,SFO-23-026,Communal Space,Unknown,true,a031700000FTAs3AAH,true,Room,SFO
a031700000FTAs4AAH,a0017000006xUx9AAE,SFO-23-027,Personal Office,Unknown,true,a031700000FTAs4AAH,true,Room,SFO
a031700000FTAs5AAH,a0017000006xUx9AAE,SFO-23-028,Conference Room,Unknown,true,a031700000FTAs5AAH,true,Room,SFO
a031700000FTAs6AAH,a0017000006xUx9AAE,SFO-23-029,Cubicle,Unknown,true,a031700000FTAs6AAH,true,Room,SFO
a031700000FTAs7AAH,a0017000006xUx9AAE,SFO-23-030,Personal Office,Unknown,true,a031700000FTAs7AAH,true,Room,SFO
a031700000FTAs8AAH,a0017000006xUx9AAE,SFO-23-031,Cubicle,Unknown,true,a031700000FTAs8AAH,true,Room,SFO
a031700000FTAs9AAH,a0017000006xUx9AAE,SFO-23-032,Conference Room,Clean,true,a031700000FTAs9AAH,true,Room,SFO
a031700000FTAsAAAX,a0017000006xUx9AAE,SFO-23-033,Conference Room,Unknown,true,a031700000FTAsAAAX,true,Room,SFO
a031700000FTAsBAAX,a0017000006xUx9AAE,SFO-23-034,Closet,Clean,true,a031700000FTAsBAAX,true,Room,SFO
a031700000FTAsCAAX,a0017000006xUx9AAE,SFO-23-035,Cubicle,Unknown,true,a031700000FTAsCAAX,true,Room,SFO
a031700000FTAsDAAX,a0017000006xUx9AAE,SFO-23-036,Conference Room,Unknown,true,a031700000FTAsDAAX,true,Room,SFO
a031700000FTAsEAAX,a0017000006xUx9AAE,SFO-23-037,Conference Room,Unknown,true,a031700000FTAsEAAX,true,Room,SFO
a031700000FTAsFAAX,a0017000006xUx9AAE,SFO-23-038,Conference Room,Unknown,true,a031700000FTAsFAAX,true,Room,SFO
a031700000FTAsGAAX,a0017000006xUx9AAE,SFO-23-039,Cubicle,Clean,true,a031700000FTAsGAAX,true,Room,SFO
a031700000FTAsHAAX,a0017000006xUx9AAE,SFO-23-040,Communal Space,Clean,true,a031700000FTAsHAAX,true,Room,SFO
a031700000FTAsIAAX,a0017000006xUx9AAE,SFO-23-041,Personal Office,Clean,true,a031700000FTAsIAAX,true,Room,SFO
a031700000FTAsJAAX,a0017000006xUx9AAE,SFO-23-042,Conference Room,Clean,true,a031700000FTAsJAAX,true,Room,SFO
a031700000FTAsKAAX,a0017000006xUx9AAE,SFO-23-043,Lavatory,Unknown,true,a031700000FTAsKAAX,true,Room,SFO
a031700000FTAsLAAX,a0017000006xUx9AAE,SFO-23-044,Closet,Clean,true,a031700000FTAsLAAX,true,Room,SFO
a031700000FTAsMAAX,a0017000006xUx9AAE,SFO-23-045,Cubicle,Clean,true,a031700000FTAsMAAX,true,Room,SFO
a031700000FTAsNAAX,a0017000006xUx9AAE,SFO-23-046,Closet,Clean,true,a031700000FTAsNAAX,true,Room,SFO
a031700000FTAsOAAX,a0017000006xUx9AAE,SFO-23-047,Conference Room,Unknown,true,a031700000FTAsOAAX,true,Room,SFO
a031700000FTAsPAAX,a0017000006xUx9AAE,SFO-23-048,Cubicle,Clean,true,a031700000FTAsPAAX,true,Room,SFO
a031700000FTAsQAAX,a0017000006xUx9AAE,SFO-23-049,Cubicle,Unknown,true,a031700000FTAsQAAX,true,Room,SFO
a031700000FTAsRAAX,a0017000006xUx9AAE,SFO-23-050,Cubicle,Clean,true,a031700000FTAsRAAX,true,Room,SFO
a031700000FTAsSAAX,a0017000006xUx9AAE,SFO-23-051,Conference Room,Clean,true,a031700000FTAsSAAX,true,Room,SFO
a031700000FTAsTAAX,a0017000006xUx9AAE,SFO-23-052,Conference Room,Unknown,true,a031700000FTAsTAAX,true,Room,SFO
a031700000FTAsUAAX,a0017000006xUx9AAE,SFO-23-053,Conference Room,Clean,true,a031700000FTAsUAAX,true,Room,SFO
a031700000FTAsVAAX,a0017000006xUx9AAE,SFO-23-054,Cubicle,Unknown,true,a031700000FTAsVAAX,true,Room,SFO
a031700000FTAsWAAX,a0017000006xUx9AAE,SFO-23-055,Personal Office,Clean,true,a031700000FTAsWAAX,true,Room,SFO
a031700000FTAsXAAX,a0017000006xUx9AAE,SFO-23-056,Cubicle,Unknown,true,a031700000FTAsXAAX,true,Room,SFO
a031700000FTAsYAAX,a0017000006xUx9AAE,SFO-23-057,Communal Space,Clean,true,a031700000FTAsYAAX,true,Room,SFO
a031700000FTAsZAAX,a0017000006xUx9AAE,SFO-23-058,Personal Office,Clean,true,a031700000FTAsZAAX,true,Room,SFO
a031700000FTAsaAAH,a0017000006xUx9AAE,SFO-23-059,Conference Room,Unknown,true,a031700000FTAsaAAH,true,Room,SFO
a031700000FTAsbAAH,a0017000006xUx9AAE,SFO-23-060,Cubicle,Clean,true,a031700000FTAsbAAH,true,Room,SFO
a031700000FTAscAAH,a0017000006xUx9AAE,SFO-23-061,Personal Office,Clean,true,a031700000FTAscAAH,true,Room,SFO
a031700000FTAsdAAH,a0017000006xUx9AAE,SFO-23-062,Cubicle,Clean,true,a031700000FTAsdAAH,true,Room,SFO
a031700000FTAseAAH,a0017000006xUx9AAE,SFO-23-063,Conference Room,Clean,true,a031700000FTAseAAH,true,Room,SFO
a031700000FTAsfAAH,a0017000006xUx9AAE,SFO-23-064,Cubicle,Unknown,true,a031700000FTAsfAAH,true,Room,SFO
a031700000FTAsgAAH,a0017000006xUx9AAE,SFO-23-065,Conference Room,Unknown,true,a031700000FTAsgAAH,true,Room,SFO
a031700000FTAshAAH,a0017000006xUx9AAE,SFO-23-066,Closet,Clean,true,a031700000FTAshAAH,true,Room,SFO
a031700000FTAsiAAH,a0017000006xUx9AAE,SFO-23-067,Kitchen,Clean,true,a031700000FTAsiAAH,true,Room,SFO
a031700000FTAsjAAH,a0017000006xUx9AAE,SFO-23-068,Personal Office,Unknown,true,a031700000FTAsjAAH,true,Room,SFO
a031700000FTAskAAH,a0017000006xUx9AAE,SFO-23-069,Cubicle,Clean,true,a031700000FTAskAAH,true,Room,SFO
a031700000FTAslAAH,a0017000006xUx9AAE,SFO-23-070,Cubicle,Unknown,true,a031700000FTAslAAH,true,Room,SFO
a031700000FTAsmAAH,a0017000006xUx9AAE,SFO-23-071,Cubicle,Clean,true,a031700000FTAsmAAH,true,Room,SFO
a031700000FTAsnAAH,a0017000006xUx9AAE,SFO-23-072,Cubicle,Unknown,true,a031700000FTAsnAAH,true,Room,SFO
a031700000FTAsoAAH,a0017000006xUx9AAE,SFO-23-073,Conference Room,Clean,true,a031700000FTAsoAAH,true,Room,SFO
a031700000FTAspAAH,a0017000006xUx9AAE,SFO-23-074,Cubicle,Clean,true,a031700000FTAspAAH,true,Room,SFO
a031700000FTAsqAAH,a0017000006xUx9AAE,SFO-23-075,Cubicle,Unknown,true,a031700000FTAsqAAH,true,Room,SFO
a031700000FTAsrAAH,a0017000006xUx9AAE,SFO-23-076,Kitchen,Clean,true,a031700000FTAsrAAH,true,Room,SFO
a031700000FTAssAAH,a0017000006xUx9AAE,SFO-23-077,Cubicle,Clean,true,a031700000FTAssAAH,true,Room,SFO
a031700000FTAstAAH,a0017000006xUx9AAE,SFO-23-078,Conference Room,Unknown,true,a031700000FTAstAAH,true,Room,SFO
a031700000FTAsuAAH,a0017000006xUx9AAE,SFO-23-079,Conference Room,Clean,true,a031700000FTAsuAAH,true,Room,SFO
a031700000FTAsvAAH,a0017000006xUx9AAE,SFO-23-080,Conference Room,Unknown,true,a031700000FTAsvAAH,true,Room,SFO
a031700000FTAswAAH,a0017000006xUx9AAE,SFO-23-081,Conference Room,Unknown,true,a031700000FTAswAAH,true,Room,SFO
a031700000FTAsxAAH,a0017000006xUx9AAE,SFO-23-082,Personal Office,Clean,true,a031700000FTAsxAAH,true,Room,SFO
a031700000FTAsyAAH,a0017000006xUx9AAE,SFO-23-083,Cubicle,Unknown,true,a031700000FTAsyAAH,true,Room,SFO
a031700000FTAszAAH,a0017000006xUx9AAE,SFO-23-084,Personal Office,Unknown,true,a031700000FTAszAAH,true,Room,SFO
a031700000FTAt0AAH,a0017000006xUx9AAE,SFO-23-085,Lavatory,Unknown,true,a031700000FTAt0AAH,true,Room,SFO
a031700000FTAt1AAH,a0017000006xUx9AAE,SFO-23-086,Cubicle,Unknown,true,a031700000FTAt1AAH,true,Room,SFO
a031700000FTAt2AAH,a0017000006xUx9AAE,SFO-23-087,Conference Room,Clean,true,a031700000FTAt2AAH,true,Room,SFO
a031700000FTAt3AAH,a0017000006xUx9AAE,SFO-23-088,Communal Space,Unknown,true,a031700000FTAt3AAH,true,Room,SFO
a031700000FTAt4AAH,a0017000006xUx9AAE,SFO-23-089,Conference Room,Clean,true,a031700000FTAt4AAH,true,Room,SFO
a031700000FTAt5AAH,a0017000006xUx9AAE,SFO-23-090,Conference Room,Clean,true,a031700000FTAt5AAH,true,Room,SFO
a031700000FTAt6AAH,a0017000006xUx9AAE,SFO-23-091,Personal Office,Unknown,true,a031700000FTAt6AAH,true,Room,SFO
a031700000FTAt7AAH,a0017000006xUx9AAE,SFO-23-092,Cubicle,Unknown,true,a031700000FTAt7AAH,true,Room,SFO
a031700000FTAt8AAH,a0017000006xUx9AAE,SFO-23-093,Personal Office,Clean,true,a031700000FTAt8AAH,true,Room,SFO
a031700000FTAt9AAH,a0017000006xUx9AAE,SFO-23-094,Personal Office,Unknown,true,a031700000FTAt9AAH,true,Room,SFO
a031700000FTAtAAAX,a0017000006xUx9AAE,SFO-23-095,Personal Office,Unknown,true,a031700000FTAtAAAX,true,Room,SFO
a031700000FTAtBAAX,a0017000006xUx9AAE,SFO-23-096,Cubicle,Clean,true,a031700000FTAtBAAX,true,Room,SFO
a031700000FTAtCAAX,a0017000006xUx9AAE,SFO-23-097,Personal Office,Clean,true,a031700000FTAtCAAX,true,Room,SFO
a031700000FTAtDAAX,a0017000006xUx9AAE,SFO-23-098,Cubicle,Unknown,true,a031700000FTAtDAAX,true,Room,SFO
a031700000FTAtEAAX,a0017000006xUx9AAE,SFO-23-099,Cubicle,Unknown,true,a031700000FTAtEAAX,true,Room,SFO
a031700000FTAtFAAX,a0017000006xUx9AAE,SFO-23-100,Cubicle,Clean,true,a031700000FTAtFAAX,true,Room,SFO
a031700000FTAtGAAX,a0017000006xUx9AAE,SFO-23-101,Personal Office,Clean,true,a031700000FTAtGAAX,true,Room,SFO
a031700000FTAtHAAX,a0017000006xUx9AAE,SFO-23-102,Conference Room,Unknown,true,a031700000FTAtHAAX,true,Room,SFO
a031700000FTAtIAAX,a0017000006xUx9AAE,SFO-23-103,Conference Room,Clean,true,a031700000FTAtIAAX,true,Room,SFO
a031700000FTAtJAAX,a0017000006xUx9AAE,SFO-23-104,Personal Office,Clean,true,a031700000FTAtJAAX,true,Room,SFO
a031700000FTAtKAAX,a0017000006xUx9AAE,SFO-23-105,Personal Office,Unknown,true,a031700000FTAtKAAX,true,Room,SFO
a031700000FTAtLAAX,a0017000006xUx9AAE,SFO-23-106,Cubicle,Unknown,true,a031700000FTAtLAAX,true,Room,SFO
a031700000FTAtMAAX,a0017000006xUx9AAE,SFO-23-107,Cubicle,Clean,true,a031700000FTAtMAAX,true,Room,SFO
a031700000FTAtNAAX,a0017000006xUx9AAE,SFO-23-108,Conference Room,Clean,true,a031700000FTAtNAAX,true,Room,SFO
a031700000FTAtOAAX,a0017000006xUx9AAE,SFO-23-109,Cubicle,Clean,true,a031700000FTAtOAAX,true,Room,SFO
a031700000FTAtPAAX,a0017000006xUx9AAE,SFO-23-110,Personal Office,Clean,true,a031700000FTAtPAAX,true,Room,SFO
a031700000FTAtQAAX,a0017000006xUxAAAU,RES-8-001,Conference Room,Unknown,true,a031700000FTAtQAAX,true,Room,RES
a031700000FTAtRAAX,a0017000006xUxAAAU,RES-8-002,Conference Room,Unknown,true,a031700000FTAtRAAX,true,Room,RES
a031700000FTAtSAAX,a0017000006xUxAAAU,RES-8-003,Cubicle,Clean,true,a031700000FTAtSAAX,true,Room,RES
a031700000FTAtTAAX,a0017000006xUxAAAU,RES-8-004,Conference Room,Clean,true,a031700000FTAtTAAX,true,Room,RES
a031700000FTAtUAAX,a0017000006xUxAAAU,RES-8-005,Kitchen,Clean,true,a031700000FTAtUAAX,true,Room,RES
a031700000FTAtVAAX,a0017000006xUxAAAU,RES-8-006,Personal Office,Unknown,true,a031700000FTAtVAAX,true,Room,RES
a031700000FTAtWAAX,a0017000006xUxAAAU,RES-8-007,Cubicle,Unknown,true,a031700000FTAtWAAX,true,Room,RES
a031700000FTAtXAAX,a0017000006xUxAAAU,RES-8-008,Kitchen,Unknown,true,a031700000FTAtXAAX,true,Room,RES
a031700000FTAtYAAX,a0017000006xUxAAAU,RES-8-009,Conference Room,Unknown,true,a031700000FTAtYAAX,true,Room,RES
a031700000FTAtZAAX,a0017000006xUxAAAU,RES-8-010,Personal Office,Unknown,true,a031700000FTAtZAAX,true,Room,RES
a031700000FTAtaAAH,a0017000006xUxAAAU,RES-8-011,Cubicle,Clean,true,a031700000FTAtaAAH,true,Room,RES
a031700000FTAtbAAH,a0017000006xUxAAAU,RES-8-012,Cubicle,Clean,true,a031700000FTAtbAAH,true,Room,RES
a031700000FTAtcAAH,a0017000006xUxAAAU,RES-8-013,Conference Room,Unknown,true,a031700000FTAtcAAH,true,Room,RES
a031700000FTAtdAAH,a0017000006xUxAAAU,RES-8-014,Conference Room,Unknown,true,a031700000FTAtdAAH,true,Room,RES
a031700000FTAteAAH,a0017000006xUxAAAU,RES-8-015,Lavatory,Clean,true,a031700000FTAteAAH,true,Room,RES
a031700000FTAtfAAH,a0017000006xUxAAAU,RES-8-016,Lavatory,Unknown,true,a031700000FTAtfAAH,true,Room,RES
